t;q1;q2;q1dot;q2dot;x;y
0.315835836;0.516698796;-0.804201027;0.169908805;0.267112447;0.683544098;0.113344076
0.318558559;0.517163141;-0.803471034;0.171179455;0.269110027;0.683559923;0.113893931
0.321281281;0.517630941;-0.802735608;0.172446788;0.271102392;0.683575327;0.114447968
0.324004004;0.518102188;-0.801994765;0.173710802;0.273089541;0.683590297;0.115006177
0.326726727;0.518576871;-0.801248519;0.1749715;0.275071474;0.683604822;0.115568548
0.329449449;0.519054982;-0.800496883;0.176228879;0.277048192;0.683618887;0.116135073
0.332172172;0.519536513;-0.799739873;0.177482941;0.279019694;0.683632482;0.116705742
0.334894895;0.520021453;-0.798977501;0.178733686;0.28098598;0.683645593;0.117280546
0.337617618;0.520509794;-0.798209784;0.179981112;0.282947051;0.683658207;0.117859475
0.34034034;0.521001527;-0.797436733;0.181225221;0.284902906;0.683670312;0.118442519
0.343063063;0.521496643;-0.796658365;0.182466013;0.286853546;0.683681895;0.119029671
0.345785786;0.521995133;-0.795874693;0.183703487;0.28879897;0.683692943;0.119620919
0.348508509;0.522496988;-0.795085731;0.184937643;0.290739178;0.683703444;0.120216254
0.351231231;0.523002198;-0.794291493;0.186168481;0.292674171;0.683713385;0.120815667
0.353953954;0.523510755;-0.793491994;0.187396002;0.294603948;0.683722751;0.121419149
0.356676677;0.52402265;-0.792687248;0.188620206;0.296528509;0.683731532;0.12202669
0.359399399;0.524537873;-0.791877269;0.189841091;0.298447855;0.683739713;0.12263828
0.362122122;0.525056416;-0.791062071;0.191058659;0.300361985;0.683747281;0.123253909
0.364844845;0.525578269;-0.790241669;0.19227291;0.3022709;0.683754224;0.123873569
0.367567568;0.526103425;-0.789416077;0.193483843;0.304174599;0.683760529;0.124497249
0.37029029;0.526631872;-0.788585308;0.194691458;0.306073083;0.683766181;0.125124939
0.373013013;0.527163603;-0.787749377;0.195895755;0.30796635;0.683771168;0.125756631
0.375735736;0.527698609;-0.786908298;0.197096735;0.309854403;0.683775476;0.126392314
0.378458458;0.52823688;-0.786062086;0.198294398;0.311737239;0.683779093;0.127031978
0.381181181;0.528778407;-0.785210755;0.199488742;0.31361486;0.683782005;0.127675614
0.383903904;0.529323182;-0.784354319;0.20067977;0.315487266;0.683784198;0.128323211
0.386626627;0.529871195;-0.783492791;0.201867479;0.317354455;0.683785659;0.128974761
0.389349349;0.530422437;-0.782626187;0.203051871;0.319216429;0.683786375;0.129630252
0.392072072;0.5309769;-0.78175452;0.204232945;0.321073188;0.683786332;0.130289676
0.394794795;0.531534573;-0.780877805;0.205410702;0.322924731;0.683785517;0.130953022
0.397517518;0.532095449;-0.779996056;0.206585141;0.324771058;0.683783915;0.13162028
0.40024024;0.532659519;-0.779109287;0.207756262;0.32661217;0.683781515;0.13229144
0.402962963;0.533226772;-0.778217512;0.208924066;0.328448066;0.683778301;0.132966493
0.405685686;0.5337972;-0.777320746;0.210088552;0.330278746;0.68377426;0.133645427
0.408408408;0.534370795;-0.776419002;0.21124972;0.332104211;0.683769379;0.134328234
0.411131131;0.534947546;-0.775512295;0.212407571;0.33392446;0.683763644;0.135014902
0.413853854;0.535527445;-0.774600639;0.213562104;0.335739494;0.683757041;0.135705422
0.416576577;0.536110484;-0.773684049;0.21471332;0.337549312;0.683749556;0.136399783
0.419299299;0.536696652;-0.772762537;0.215861218;0.339353915;0.683741176;0.137097976
0.422022022;0.537285941;-0.77183612;0.217005798;0.341153301;0.683731886;0.137799989
0.424744745;0.537878342;-0.77090481;0.218147061;0.342947472;0.683721674;0.138505813
0.427467467;0.538473846;-0.769968623;0.219285006;0.344736428;0.683710524;0.139215437
0.43019019;0.539072444;-0.769027572;0.220419633;0.346520168;0.683698424;0.13992885
0.432912913;0.539674126;-0.768081671;0.221550943;0.348298692;0.683685359;0.140646044
0.435635636;0.540278884;-0.767130935;0.222678936;0.350072001;0.683671315;0.141367006
0.438358358;0.540886709;-0.766175378;0.22380361;0.351840094;0.683656279;0.142091726
0.441081081;0.541497592;-0.765215014;0.224924967;0.353602972;0.683640236;0.142820194
0.443803804;0.542111523;-0.764249857;0.226043006;0.355360633;0.683623173;0.1435524
0.446526527;0.542728494;-0.763279921;0.227157728;0.35711308;0.683605075;0.144288332
